num1,num2,data,bpm,ibi
1,324385,660,235,258
2,324386,0,235,258
3,324387,445,235,258
4,324389,740,226,348
5,324390,763,226,348
6,324391,744,226,348
7,324392,748,226,348
8,324393,724,226,348
9,324394,731,226,348
10,324395,730,226,348
11,324396,716,226,348
12,324397,716,226,348
13,324398,716,226,348
14,324399,719,226,348
15,324400,707,226,348
16,324401,711,226,348
17,324402,719,226,348
18,324403,719,226,348
19,324404,722,226,348
20,324405,652,226,922
21,324406,721,226,922
22,324407,728,226,922
23,324408,724,226,922
24,324409,730,226,922
25,324410,728,226,922
26,324411,707,226,922
27,324412,734,226,922
28,324413,732,226,922
29,324414,752,226,922
30,324415,713,226,922
31,324416,730,226,922
32,324417,753,226,922
33,324418,733,226,922
34,324419,724,226,922
35,324420,713,226,922
36,324421,731,226,922
37,324422,727,226,922
38,324423,720,226,922
39,324424,733,226,922
40,324425,736,226,922
41,324426,683,226,922
42,324427,743,226,922
43,324428,747,226,922
44,324429,716,226,922
45,324430,708,226,922
46,324431,712,226,922
47,324432,708,226,922
48,324433,723,226,922
49,324434,708,226,922
50,324435,684,226,922
51,324436,693,226,922
52,324437,740,226,922
53,324438,740,226,922
54,324439,726,226,922
55,324440,693,226,922
56,324441,700,226,922
57,324442,694,226,922
58,324443,696,226,922
59,324444,710,226,922
60,324445,696,226,922
61,324446,680,226,922
62,324447,678,226,922
63,324448,680,226,922
64,324449,721,226,922
65,324450,693,226,922
66,324451,685,226,922
67,324452,700,226,922
68,324453,700,226,600
69,324454,708,226,600
70,324455,704,226,600
71,324456,720,226,600
72,324457,813,226,600
73,324458,1023,226,600
74,324459,851,226,600
75,324460,592,226,600
76,324461,557,226,600
77,324462,632,226,600
78,324463,766,226,486
79,324464,963,226,486
80,86358,726,196,252
81,86359,132,196,252
82,86360,1023,196,252
83,86362,509,196,252
84,86363,760,196,252
85,86364,788,196,372
86,86365,639,196,372
87,86366,284,196,372
88,86367,367,196,372
89,86368,734,202,254
90,86369,964,202,254
91,86370,871,202,254
92,86371,662,202,254
93,86372,628,202,254
94,86373,755,200,280
95,86374,848,200,280
96,86375,787,200,280
97,86376,748,200,280
98,86377,810,200,280
99,86378,814,200,252
100,86379,692,200,252
101,86380,636,200,252
102,86381,604,200,252
103,86382,585,200,252
104,86383,584,200,252
105,86384,749,200,252
106,86385,740,200,394
107,86386,675,200,394
108,86387,486,200,394
109,86388,426,200,394
110,86389,608,200,394
111,86390,661,204,326
112,86391,541,204,326
113,86392,671,204,326
114,86393,1023,204,326
115,86394,1023,204,326
116,86395,604,204,252
117,86396,707,204,252
118,86397,911,204,252
119,86398,737,204,252
120,86399,660,204,252
121,86400,684,204,252
122,86401,762,204,252
123,86402,741,204,252
124,86403,655,204,252
125,86404,684,204,252
126,86405,803,204,252
127,86406,777,204,604
128,86407,700,204,604
129,86408,662,204,604
130,86409,681,204,604
131,86410,713,204,604
132,86411,669,204,604
133,86412,734,204,604
134,86413,693,204,604
135,86414,597,204,604
136,86415,434,204,604
137,86416,383,204,604
138,86417,717,204,604
139,86418,961,204,660
140,86419,623,204,660
141,86420,265,204,660
142,86421,396,204,660
143,86422,814,204,660
144,86423,1023,204,660
145,86424,873,204,660
146,86425,576,204,398
147,86426,568,204,398
148,86427,514,204,398
149,86428,406,204,398
150,86429,519,204,398
151,86430,892,160,320
152,86431,1023,160,320
153,86432,621,160,320
154,86433,348,160,320
155,86434,563,160,320
156,86435,885,160,256
157,86436,940,160,256
158,86437,679,160,256
159,86438,600,160,256
160,86439,645,160,256
161,86440,801,160,252
162,86441,758,160,252
163,86442,624,160,252
164,86443,676,160,252
165,86444,882,160,252
166,86445,1023,160,252
167,86446,1023,160,252
168,86447,1023,160,252
169,86449,429,160,252
170,86450,0,160,252
171,86451,429,160,252
172,86452,1023,160,442
173,86453,1023,160,442
174,86454,525,160,442
175,86455,492,160,442
176,86456,652,160,442
177,86457,755,160,266
178,86458,681,160,266
179,86459,605,160,266
180,86460,634,160,266
181,86461,764,160,266
182,86462,771,160,266
183,86463,625,160,266
184,86464,461,160,266
185,86465,388,160,266
186,86466,673,150,546
187,86467,852,150,546
188,86468,637,150,546
189,86469,544,150,546
190,86470,756,150,546
191,86471,931,150,546
192,86472,892,161,328
193,86473,668,161,328
194,86474,620,161,328
195,95477,603,61,772
196,95478,113,61,772
197,95479,468,61,772
198,95481,720,68,464
199,95482,708,68,464
200,95483,682,68,464
201,95484,750,68,464
202,95485,1023,68,464
203,95486,1023,68,464
204,95487,786,68,464
205,95488,734,68,464
206,95489,767,68,464
207,95490,698,68,464
208,95491,668,68,464
209,95492,668,68,464
210,95493,679,68,464
211,95494,694,68,464
212,95495,676,68,464
213,95496,674,68,464
214,95497,786,68,464
215,95498,543,68,464
216,95499,548,68,464
217,95500,690,68,464
218,95501,709,68,464
219,95502,716,68,464
220,95503,717,68,464
221,95504,712,68,464
222,95505,721,68,464
223,95506,668,68,464
224,95507,706,68,464
225,95508,719,68,464
226,95509,725,68,464
227,95510,698,68,464
228,95511,680,68,464
229,95512,644,68,464
230,95513,644,68,464
231,95514,660,68,464
232,95515,665,68,464
233,95516,677,68,464
234,95517,680,68,464
235,95518,713,68,464
236,95519,706,68,464
237,95520,709,68,464
238,95521,706,68,464
239,95522,711,68,464
240,95523,658,68,464
241,95524,624,68,464
242,95525,637,68,464
243,95526,658,68,600
244,95527,677,68,600
245,95528,656,68,600
246,95529,706,68,600
247,95530,784,68,600
248,95531,769,68,600
249,95532,657,68,600
250,95533,625,68,600
251,95534,676,68,600
252,95535,664,68,600
253,95536,660,68,600
254,95537,652,68,600
255,95538,671,68,600
256,95539,646,68,600
257,95540,617,68,600
258,95541,606,68,600
259,95542,635,68,600
260,95543,639,68,600
261,95544,684,68,600
262,95545,711,68,600
263,95546,729,68,1012
264,95547,702,68,1012
265,95548,689,68,1012
266,95549,675,68,1012
267,95550,700,68,1012
268,95551,757,68,1012
269,95552,742,68,1012
270,95553,715,68,1012
271,95554,677,68,1012
272,95555,700,68,1012
273,95556,662,68,1012
274,95557,698,68,1012
275,95558,689,68,1012
276,95559,692,98,608
277,95560,674,98,608
278,95561,676,98,608
279,95562,664,98,608
280,95563,679,98,608
281,95564,668,98,608
282,95565,675,98,608
283,95566,664,98,608
284,95567,648,98,608
285,95568,684,98,608
286,95569,660,98,608
287,95570,651,98,608
288,95571,652,98,608
289,95572,669,98,608
290,95573,658,98,608
291,95574,671,98,608
292,95575,671,98,608
293,95576,688,98,608
294,333768,795,184,968
295,333769,0,184,968
296,333770,1023,165,624
297,333772,441,165,624
298,333773,720,165,624
299,333774,786,165,624
300,333775,774,165,624
301,333776,772,165,624
302,333777,775,165,374
303,333778,724,165,374
304,333779,724,165,374
305,333780,721,165,374
306,333781,699,165,374
307,333782,655,165,374
308,333783,572,165,374
309,333784,516,165,374
310,333785,484,165,374
311,333786,524,165,374
312,333787,572,165,374
313,333788,606,165,374
314,333789,615,165,374
315,333790,629,165,374
316,333791,623,165,374
317,333792,642,165,374
318,333793,628,165,892
319,333794,652,165,892
320,333795,674,165,892
321,333796,685,165,892
322,333797,712,165,892
323,333798,733,165,892
324,333799,772,165,892
325,333800,717,165,892
326,333801,697,165,892
327,333802,683,128,536
328,333803,670,128,536
329,333804,719,128,536
330,333805,735,128,536
331,333806,743,128,536
332,333807,720,128,536
333,333808,737,128,536
334,333809,722,128,536
335,333810,716,128,536
336,333811,728,128,536
337,333812,720,128,536
338,333813,709,128,536
339,333814,713,128,536
340,333815,704,128,536
341,333816,697,128,536
342,333817,701,128,536
343,333818,693,128,536
344,333819,715,128,536
345,333820,727,128,536
346,333821,707,128,536
347,333822,732,128,536
348,333823,727,128,536
349,333824,708,128,536
350,333825,721,128,536
351,333826,723,128,536
352,333827,724,128,536
353,333828,682,128,536
354,343839,715,204,262
355,343840,0,204,262
356,343841,356,204,262
357,343843,750,193,358
358,343844,752,193,358
359,343845,726,193,358
360,343846,767,193,358
361,343847,847,193,252
362,343848,954,193,252
363,343849,805,193,252
364,343850,524,193,252
365,343851,691,193,252
366,343852,812,193,252
367,343853,804,193,252
368,343854,764,193,252
369,343855,727,193,252
370,343856,777,193,252
371,343857,1023,193,252
372,343858,1023,193,252
373,343859,456,193,252
374,343860,448,193,252
375,343861,510,193,252
376,343862,27,193,252
377,343863,92,193,252
378,343864,615,193,252
379,343865,782,193,1014
380,343866,748,193,1014
381,343867,720,193,1014
382,343868,723,193,1014
383,343869,710,193,1014
384,343870,708,193,1014
385,343871,684,193,1014
386,343872,724,193,1014
387,343873,732,193,1014
388,343874,724,193,1014
389,343875,716,193,1014
390,343876,688,193,608
391,343877,735,193,608
392,343878,784,193,608
393,343879,1023,193,608
394,343880,551,193,608
395,343881,251,193,608
396,343882,604,193,608
397,343883,774,193,400
398,343884,740,193,400
399,343885,706,193,400
400,343886,699,193,400
401,343887,703,193,400
402,343888,690,193,252
403,343889,712,193,252
404,343890,731,193,252
405,343891,724,193,252
406,343892,711,193,252
407,343893,713,138,324
408,343894,717,138,324
409,343895,735,138,324
410,343896,755,138,324
411,343897,720,138,324
412,343898,703,147,270
413,343899,688,147,270
414,343900,709,147,270
415,343901,719,147,270
416,343902,716,147,270
417,343903,710,149,278
418,343904,707,149,278
419,343905,720,149,278
420,343906,732,149,278
421,343907,726,149,278
422,343908,677,149,252
423,343909,724,149,252
424,343910,756,149,252
425,343911,756,149,252
426,343913,742,153,252
427,343914,769,153,252
428,343915,877,153,252
429,343916,1023,153,252
430,343917,880,153,252
431,343918,968,153,252
432,343919,855,153,252
433,343920,689,153,252
434,343921,484,153,252
435,343922,422,153,252
436,343923,567,153,252
437,343924,747,153,252
438,343925,742,153,252
439,343926,743,153,252
440,343927,711,153,252
441,343928,734,153,252
442,343929,748,153,252
443,343930,722,153,252
444,343931,696,153,252
445,343932,697,153,252
446,343933,708,153,252
447,343934,719,153,252
448,343935,719,153,252
449,343936,707,153,252
450,343937,707,153,252
451,343938,699,153,252
