年月日,時間,気圧（現地）,気圧（海面）,降水量,気温,露点湿度,蒸気圧,湿度,風速,風向,日照時間,全天日射量,降雪,積雪
2020-12-01,1,1023.5,1026.5,0,8.5,6.0,9.3,84.0,1.5,0,0,0,0,0
2020-12-01,2,1023.6,1026.6,0,9.6,6.2,9.4,79.0,1.2,0,0,0,0,0
2020-12-01,3,1023.5,1026.5,0,9.2,5.4,9.0,77.0,2.9,0,0,0,0,0
2020-12-01,4,1023.6,1026.6,0,7.9,2.2,7.1,67.0,1.5,0,0,0,0,0
2020-12-01,5,1023.9,1026.9,0,7.2,2.5,7.3,72.0,2.2,0,0,0,0,0
2020-12-01,6,1024.9,1027.9,0,6.1,1.8,7.0,74.0,1.8,0,0,0,0,0
2020-12-01,7,1025.6,1028.6,0,5.6,2.4,7.3,80.0,1.3,0,0.0,0.01,0,0
2020-12-01,8,1026.1,1029.1,0,7.4,4.2,8.2,80.0,3.0,0,0.7,0.38,0,0
2020-12-01,9,1026.1,1029.1,0,9.4,3.4,7.8,66.0,2.5,0,1.0,1.03,0,0
2020-12-01,10,1025.6,1028.6,0,11.1,2.9,7.5,57.0,2.0,0,1.0,1.52,0,0
2020-12-01,11,1024.7,1027.7,0,11.9,3.7,7.9,57.0,2.7,0,1.0,1.83,0,0
2020-12-01,12,1023.7,1026.6,0,13.2,3.6,7.9,52.0,2.5,0,1.0,1.93,0,0
2020-12-01,13,1023.3,1026.2,0,14.7,4.1,8.2,49.0,2.0,0,1.0,1.79,0,0
2020-12-01,14,1023.1,1026.0,0,13.8,3.0,7.6,48.0,1.7,0,1.0,1.48,0,0
2020-12-01,15,1022.9,1025.8,0,13.7,2.3,7.2,46.0,1.2,0,1.0,0.99,0,0
2020-12-01,16,1022.9,1025.8,0,12.5,2.4,7.2,50.0,2.2,0,1.0,0.4,0,0
2020-12-01,17,1023.7,1026.7,0,11.4,3.4,7.8,58.0,1.6,0,0.1,0.03,0,0
2020-12-01,18,1023.8,1026.8,0,12.4,4.9,8.6,60.0,1.7,0,0,0,0,0
2020-12-01,19,1024.7,1027.7,0,11.5,4.3,8.3,61.0,3.2,0,0,0,0,0
2020-12-01,20,1025.0,1028.0,0,10.5,4.2,8.3,65.0,2.3,0,0,0,0,0
2020-12-01,21,1025.2,1028.2,0,10.3,4.7,8.5,68.0,2.6,0,0,0,0,0
2020-12-01,22,1024.9,1027.9,0,9.3,4.5,8.4,72.0,1.4,0,0,0,0,0
2020-12-01,23,1025.1,1028.1,0,9.6,4.8,8.6,72.0,3.0,0,0,0,0,0
2020-12-01,24,1025.3,1028.3,0,8.6,5.0,8.7,78.0,2.5,0,0,0,0,0
2020-12-02,1,1024.9,1027.9,0,8.2,4.6,8.5,78.0,2.1,0,0,0,0,0
2020-12-02,2,1024.5,1027.5,0,8.1,4.9,8.6,80.0,1.4,0,0,0,0,0
2020-12-02,3,1024.2,1027.2,0,8.4,4.1,8.2,74.0,1.5,0,0,0,0,0
2020-12-02,4,1024.1,1027.1,0,8.0,3.1,7.6,71.0,2.0,0,0,0,0,0
2020-12-02,5,1024.4,1027.4,0,8.4,2.6,7.4,67.0,2.4,0,0,0,0,0
2020-12-02,6,1024.4,1027.4,0,8.6,2.6,7.4,66.0,2.4,0,0,0,0,0
2020-12-02,7,1024.9,1027.9,0,8.7,2.5,7.3,65.0,1.3,0,0.0,0.01,0,0
2020-12-02,8,1025.3,1028.3,0,8.8,2.8,7.5,66.0,2.3,0,0.0,0.1,0,0
2020-12-02,9,1025.4,1028.4,0.0,9.2,1.9,7.0,60.0,2.0,0,0.0,0.21,0,0
2020-12-02,10,1025.1,1028.1,0.0,9.1,2.7,7.4,64.0,2.5,0,0.0,0.21,0,0
2020-12-02,11,1024.5,1027.5,0,9.4,2.7,7.4,63.0,1.3,0,0.0,0.23,0,0
2020-12-02,12,1023.0,1026.0,0.0,9.7,3.7,7.9,66.0,3.4,0,0.0,0.26,0,0
2020-12-02,13,1022.1,1025.1,0.0,9.7,4.9,8.7,72.0,3.0,0,0.0,0.46,0,0
2020-12-02,14,1021.7,1024.7,0.0,8.8,5.6,9.1,80.0,3.0,0,0.0,0.49,0,0
2020-12-02,15,1021.6,1024.6,0.0,8.1,6.1,9.4,87.0,3.8,0,0.0,0.21,0,0
2020-12-02,16,1021.3,1024.3,1.0,7.2,6.5,9.6,95.0,3.1,0,0.0,0.09,0,0
2020-12-02,17,1021.4,1024.4,2.5,7.2,6.9,10.0,98.0,2.1,0,0.0,0.0,0,0
2020-12-02,18,1021.6,1024.6,1.0,7.3,6.9,9.9,97.0,2.7,0,0,0,0,0
2020-12-02,19,1021.4,1024.4,0.5,7.5,7.2,10.2,98.0,2.1,0,0,0,0,0
2020-12-02,20,1021.3,1024.3,1.5,7.2,6.8,9.9,97.0,2.4,0,0,0,0,0
2020-12-02,21,1021.0,1024.0,1.0,7.4,7.1,10.1,98.0,2.0,0,0,0,0,0
2020-12-02,22,1020.5,1023.5,0.5,7.3,6.9,9.9,97.0,1.7,0,0,0,0,0
2020-12-02,23,1019.6,1022.6,0.0,7.2,6.8,9.9,97.0,2.5,0,0,0,0,0
2020-12-02,24,1018.8,1021.8,0,7.3,6.9,9.9,97.0,1.5,0,0,0,0,0
2020-12-03,1,1018.2,1021.2,0,7.4,7.0,10.0,97.0,1.9,0,0,0,0,0
2020-12-03,2,1017.5,1020.5,0,7.3,6.7,9.8,96.0,2.7,0,0,0,0,0
2020-12-03,3,1017.4,1020.4,0.0,7.3,6.7,9.8,96.0,3.3,0,0,0,0,0
2020-12-03,4,1016.7,1019.7,0.0,6.9,6.5,9.7,97.0,3.4,0,0,0,0,0
2020-12-03,5,1016.7,1019.7,0.0,6.7,6.1,9.4,96.0,2.6,0,0,0,0,0
2020-12-03,6,1016.5,1019.5,0.0,6.9,6.3,9.6,96.0,3.0,0,0,0,0,0
2020-12-03,7,1016.4,1019.4,0,7.0,6.1,9.4,94.0,2.1,0,0.0,0.0,0,0
2020-12-03,8,1016.3,1019.3,0,7.2,6.2,9.4,93.0,2.7,0,0.0,0.04,0,0
2020-12-03,9,1016.1,1019.1,0.0,7.5,6.0,9.3,90.0,2.0,0,0.0,0.15,0,0
2020-12-03,10,1015.0,1018.0,0,8.0,6.3,9.5,89.0,2.7,0,0.0,0.34,0,0
2020-12-03,11,1014.0,1017.0,0,8.2,6.5,9.7,89.0,3.1,0,0.0,0.37,0,0
2020-12-03,12,1013.2,1016.2,0,8.7,6.8,9.9,88.0,1.8,0,0.0,0.39,0,0
2020-12-03,13,1012.1,1015.0,0,9.7,7.1,10.1,84.0,1.0,0,0.0,0.73,0,0
2020-12-03,14,1011.7,1014.6,0,10.0,7.3,10.2,83.0,1.5,0,0.0,0.69,0,0
2020-12-03,15,1011.8,1014.7,0,9.9,7.2,10.1,83.0,1.4,0,0.0,0.38,0,0
2020-12-03,16,1012.0,1014.9,0,9.6,7.9,10.6,89.0,1.4,0,0.0,0.18,0,0
2020-12-03,17,1012.3,1015.2,0,9.7,7.5,10.3,86.0,2.1,0,0.0,0.02,0,0
2020-12-03,18,1012.8,1015.8,0,9.7,7.5,10.3,86.0,1.4,0,0,0,0,0
2020-12-03,19,1012.5,1015.5,0,8.8,7.1,10.1,89.0,2.5,0,0,0,0,0
2020-12-03,20,1013.0,1016.0,0,8.3,6.9,10.0,91.0,1.1,0,0,0,0,0
2020-12-03,21,1013.8,1016.8,0,7.6,7.0,10.0,96.0,0.8,0,0,0,0,0
2020-12-03,22,1014.0,1017.0,0,7.2,6.5,9.6,95.0,1.2,0,0,0,0,0
2020-12-03,23,1013.9,1016.9,0,6.9,6.3,9.6,96.0,1.8,0,0,0,0,0
2020-12-03,24,1014.4,1017.4,0,6.7,6.1,9.4,96.0,1.9,0,0,0,0,0
2020-12-04,1,1015.2,1018.2,0,7.2,6.5,9.6,95.0,1.9,0,0,0,0,0
2020-12-04,2,1016.0,1019.0,0,6.9,6.3,9.6,96.0,1.9,0,0,0,0,0
2020-12-04,3,1016.3,1019.3,0,6.7,6.1,9.4,96.0,2.1,0,0,0,0,0
2020-12-04,4,1017.2,1020.2,0,6.1,5.2,8.9,94.0,1.7,0,0,0,0,0
2020-12-04,5,1017.3,1020.3,0,6.4,4.7,8.6,89.0,1.4,0,0,0,0,0
2020-12-04,6,1018.1,1021.1,0,5.8,3.8,8.0,87.0,1.6,0,0,0,0,0
2020-12-04,7,1019.1,1022.1,0,6.0,3.7,7.9,85.0,1.4,0,0.0,0.02,0,0
2020-12-04,8,1019.6,1022.6,0,7.4,2.5,7.3,71.0,1.7,0,0.0,0.21,0,0
2020-12-04,9,1020.1,1023.1,0,8.7,1.4,6.7,60.0,1.9,0,0.1,0.56,0,0
2020-12-04,10,1020.0,1023.0,0,10.6,1.9,7.0,55.0,2.4,0,0.9,1.34,0,0
2020-12-04,11,1019.2,1022.1,0,11.8,0.9,6.5,47.0,2.7,0,1.0,1.81,0,0
2020-12-04,12,1018.5,1021.4,0,12.9,-1.1,5.7,38.0,3.7,0,1.0,1.97,0,0
2020-12-04,13,1018.3,1021.2,0,13.2,-1.9,5.3,35.0,4.4,0,1.0,1.83,0,0
2020-12-04,14,1018.4,1021.3,0,13.4,-2.5,5.1,33.0,2.7,0,1.0,1.54,0,0
2020-12-04,15,1018.9,1021.8,0,12.5,-2.9,4.9,34.0,2.8,0,1.0,1.03,0,0
2020-12-04,16,1019.6,1022.5,0,11.8,-2.8,5.0,36.0,2.8,0,1.0,0.43,0,0
2020-12-04,17,1020.2,1023.2,0,10.8,-1.6,5.4,42.0,1.6,0,0.1,0.02,0,0
2020-12-04,18,1020.9,1023.9,0,11.3,1.0,6.6,49.0,2.4,0,0,0,0,0
2020-12-04,19,1021.7,1024.7,0,10.8,1.4,6.7,52.0,3.4,0,0,0,0,0
