年月日,時間,気圧（現地）,気圧（海面）,降水量,気温,露点湿度,蒸気圧,湿度,風速,風向,日照時間,全天日射量,降雪,積雪,天気
2023-10-04,1,1014.1,1016.2,9.5,18.4,16.6,18.8,89.0,2.3,0,0,0,0,0,0
2023-10-04,2,1013.6,1015.7,3.0,18.4,16.9,19.3,91.0,1.5,0,0,0,0,0,0
2023-10-04,3,1013.0,1015.1,7.5,18.0,17.0,19.4,94.0,1.8,0,0,0,0,0,0
2023-10-04,4,1012.9,1015.0,3.0,18.0,17.2,19.6,95.0,1.2,0,0,0,0,0,0
2023-10-04,5,1013.1,1015.2,0.5,18.0,16.9,19.2,93.0,2.4,0,0,0,0,0,0
2023-10-04,6,1013.3,1015.4,2.0,18.2,17.4,19.9,95.0,0.5,0,0.0,0,0,0,0
2023-10-04,7,1013.4,1015.5,0.0,18.6,16.9,19.3,90.0,1.2,0,0.0,0,0,0,0
2023-10-04,8,1013.7,1015.7,0.0,19.1,17.6,20.1,91.0,1.1,0,0.0,0,0,0,0
2023-10-04,9,1013.3,1015.3,0.0,19.8,16.8,19.2,83.0,0.7,0,0.0,0,0,0,0
2023-10-04,10,1013.1,1015.1,0.5,19.8,17.6,20.1,87.0,2.0,0,0.0,0,0,0,0
2023-10-04,11,1012.5,1014.5,0.5,18.9,17.4,19.9,91.0,1.1,0,0.0,0,0,0,0
2023-10-04,12,1011.4,1013.4,0.0,19.5,17.3,19.7,87.0,0.6,0,0.0,0,0,0,0
2023-10-04,13,1010.2,1012.2,0.0,19.9,17.5,20.0,86.0,2.1,0,0.0,0,0,0,0
2023-10-04,14,1009.7,1011.7,0.0,20.4,17.2,19.7,82.0,1.3,0,0.0,0,0,0,0
2023-10-04,15,1009.3,1011.3,0.0,20.9,16.7,19.0,77.0,0.7,0,0.0,0,0,0,0
2023-10-04,16,1008.2,1010.2,0,21.4,17.2,19.6,77.0,1.3,0,0.1,0,0,0,0
2023-10-04,17,1008.8,1010.8,0,21.2,17.0,19.4,77.0,1.1,0,0.0,0,0,0,0
2023-10-04,18,1008.7,1010.7,0.0,21.0,17.4,19.9,80.0,1.4,0,0.0,0,0,0,0
2023-10-04,19,1008.5,1010.5,0,21.0,17.6,20.1,81.0,1.7,0,0,0,0,0,0
2023-10-04,20,1008.3,1010.3,0.0,20.5,17.7,20.3,84.0,1.7,0,0,0,0,0,0
2023-10-04,21,1008.2,1010.2,0,20.2,18.0,20.6,87.0,0.7,0,0,0,0,0,0
2023-10-04,22,1007.6,1009.6,0,19.8,17.8,20.3,88.0,0.9,0,0,0,0,0,0
2023-10-04,23,1006.9,1008.9,0,19.8,17.9,20.6,89.0,0.6,0,0,0,0,0,0
2023-10-04,24,1006.8,1008.8,0,19.6,17.7,20.3,89.0,1.2,0,0,0,0,0,0
