年月日,時間,気圧（現地）,気圧（海面）,降水量,気温,露点湿度,蒸気圧,湿度,風速,風向,日照時間,全天日射量,降雪,積雪
2023-10-17,1,1011.8,1013.9,0,16.2,12.2,14.2,77.0,1.3,0,0,0,0,0
2023-10-17,2,1011.9,1014.0,0,15.5,12.1,14.1,80.0,1.6,0,0,0,0,0
2023-10-17,3,1011.8,1013.9,0,15.2,12.2,14.2,82.0,1.7,0,0,0,0,0
2023-10-17,4,1012.1,1014.2,0,14.9,12.0,14.1,83.0,2.3,0,0,0,0,0
2023-10-17,5,1012.4,1014.5,0,15.0,12.0,14.0,82.0,2.7,0,0,0,0,0
2023-10-17,6,1012.8,1014.9,0,14.0,12.1,14.1,88.0,1.4,0,0,0,0,0
2023-10-17,7,1013.5,1015.6,0,15.2,11.4,13.5,78.0,2.3,0,0.6,0,0,0
2023-10-17,8,1014.2,1016.3,0,17.2,11.3,13.3,68.0,1.2,0,1.0,0,0,0
2023-10-17,9,1014.3,1016.3,0,19.4,10.4,12.6,56.0,1.0,0,1.0,0,0,0
2023-10-17,10,1014.3,1016.3,0,21.7,8.9,11.4,44.0,2.1,0,1.0,0,0,0
2023-10-17,11,1014.2,1016.2,0,23.1,7.6,10.5,37.0,4.8,0,1.0,0,0,0
2023-10-17,12,1013.7,1015.7,0,24.4,7.5,10.4,34.0,5.0,0,1.0,0,0,0
2023-10-17,13,1013.1,1015.1,0,24.9,7.5,10.4,33.0,5.6,0,1.0,0,0,0
2023-10-17,14,1013.0,1015.0,0,24.9,7.1,10.1,32.0,6.7,0,1.0,0,0,0
2023-10-17,15,1013.0,1015.0,0,24.5,7.2,10.1,33.0,6.4,0,1.0,0,0,0
2023-10-17,16,1013.2,1015.2,0,23.6,6.4,9.6,33.0,5.3,0,1.0,0,0,0
2023-10-17,17,1013.7,1015.7,0,22.3,6.1,9.4,35.0,5.7,0,1.0,0,0,0
2023-10-17,18,1014.7,1016.7,0,20.4,6.7,9.8,41.0,4.7,0,0.0,0,0,0
2023-10-17,19,1015.3,1017.4,0,19.1,7.5,10.4,47.0,4.4,0,0,0,0,0
2023-10-17,20,1016.0,1018.1,0,17.7,8.3,10.9,54.0,2.3,0,0,0,0,0
2023-10-17,21,1016.9,1019.0,0,18.0,8.0,10.7,52.0,2.6,0,0,0,0,0
2023-10-17,22,1017.4,1019.5,0,17.8,8.1,10.8,53.0,3.0,0,0,0,0,0
2023-10-17,23,1017.6,1019.7,0,17.4,8.0,10.7,54.0,3.2,0,0,0,0,0
2023-10-17,24,1017.7,1019.8,0,15.3,8.8,11.3,65.0,0.9,0,0,0,0,0
